state,f_Hz,kappa,qfi_lambda,qfi_h,sigma_h_over_hSQL,cutoff,converged
opt_no_ba,246.5693478884132,1.6538488223226122,3.92963327968949,2.9582820353058496e+48,0.3922618608580516,90,True
opt_no_ba,303.9822165905867,0.9876733382945372,6.312287179328809,4.3133033821566146e+48,0.40049763910766895,48,True
opt_no_ba,374.76348457207666,0.5698658736556361,8.078000571719905,4.840660651232359e+48,0.4660813606864454,40,True
opt_no_ba,462.02594001663215,0.31586214339346,8.964379614082803,4.525474348738372e+48,0.5942799680017771,40,True
opt_no_ba,569.6071736871604,0.1676660465988845,9.291766509026402,3.7844945501854995e+48,0.8011766692896074,40,True
opt_no_ba,702.2383468430263,0.08527290600740692,9.391616612790097,2.9568825390612626e+48,1.1174401986387192,40,True
opt_no_ba,865.7522562166115,0.041712694135205744,9.418486040147728,2.2047034157860786e+48,1.5954210959021844,40,True
opt_no_ba,1067.3398462412626,0.01974582646328254,9.425067638489399,1.587372341708408e+48,2.3180356147669903,40,True
opt_no_ba,1315.8664493151366,0.009108174202307232,9.426565291115958,1.1130687951657134e+48,3.4127745218704133,40,True
opt_no_ba,1622.2616615793747,0.004120543351264026,9.426887291527885,7.65381892383983e+47,5.073861390783209,40,True
opt_no_ba,2000.0000000000002,0.0018382352941176457,9.426953664927396,5.189745197189008e+47,7.596503873440059,40,True
