eta_out,kappa,theta_opt_deg,x_extent_dB,qfi_lambda
0.5,0.5,24.500000000000004,9.145557413912568,1.779421282633695
0.5,0.6000000000000001,28.500000000000007,8.846920416413928,1.7635829747331582
0.5,0.7000000000000001,32.500000000000014,8.494438733161964,1.7452304702009287
0.5,0.8,36.0,8.138389479845143,1.7245220661027199
0.5,0.9,39.25,7.764614149143327,1.7016359380392536
0.5,1.0,42.24999999999999,7.379513089950991,1.6767660648114044
0.5,1.1,45.0,6.989700043360188,1.6501093929854465
0.5,1.2000000000000002,47.5,6.602036519827043,1.6218696352576272
0.5,1.3,49.75000000000001,6.223627526585146,1.5922538219703888
0.5,1.4000000000000001,51.750000000000014,5.861771135669757,1.5614487006692825
0.5,1.5,53.750000000000014,5.473867991383631,1.5296792661754592
0.5,1.6,55.50000000000001,5.1112940868693,1.4971095671504426
0.5,1.7000000000000002,56.99999999999999,4.781919939030415,1.463917984725355
0.5,1.8,58.5,4.434053587375859,1.4303051107851215
0.5,1.9000000000000001,60.00000000000001,4.066270744438406,1.3963797921041647
0.5,2.0,61.25000000000001,3.7434139209486577,1.3623454621983826
0.5,2.1,62.24999999999999,3.4736660475617493,1.328305724683101
0.5,2.2,63.49999999999999,3.121182078260065,1.29438206608715
0.5,2.3000000000000003,64.50000000000001,2.82615840686673,1.2606951363129357
0.5,2.4000000000000004,65.25000000000001,2.5968162098719594,1.2273054762838855
0.5,2.5,66.25,2.2796313172346943,1.1944067569057102
0.5,2.6,67.0,2.032730686063463,1.1619247182561567
0.5,2.7,67.75000000000001,1.7776748936558988,1.1299885508703704
0.5,2.8000000000000003,68.50000000000001,1.5140454922777502,1.0986802917073184
0.5,2.9000000000000004,69.24999999999999,1.2413931907036342,1.0679937195483662
0.5,3.0,69.75000000000001,1.0543754892986306,1.0379369761798485
0.5,3.1,70.49999999999999,0.7655957565363497,1.008678365284548
0.5,3.2,71.00000000000001,0.5673395090372805,0.9801228304319262
0.5,3.3000000000000003,71.5,0.3642967289826007,0.9522746023065508
0.5,3.4000000000000004,72.0,0.15628943383488622,0.9251872448348598
0.5,3.5,72.5,-0.05686834115470167,0.8988744114708865
0.5,3.6,73.00000000000001,-0.2753706134434507,0.8733154203335179
0.5,3.7,73.50000000000001,-0.49941941582268934,0.8484603624795822
0.5,3.8000000000000003,73.74999999999999,-0.6135890514545976,0.8243665619966113
0.5,3.9000000000000004,74.25000000000001,-0.8463534973379706,0.8010992505957559
0.5,4.0,74.5,-0.9650035271834714,0.7784032650651461
0.5,4.1000000000000005,74.99999999999999,-1.2069802990706373,0.7566028857157153
0.5,4.2,75.25,-1.3303645610646515,0.7353945055770965
0.5,4.3,75.75,-1.5820708128647996,0.714820396416233
0.5,4.4,76.0,-1.710451825159406,0.6950688573489111
0.5,4.5,76.25000000000001,-1.840557630093123,0.6759056871421348
0.5,4.6000000000000005,76.5,-1.9724178887626953,0.6573446088315248
0.5,4.7,76.75000000000001,-2.1060621457350153,0.639389400928886
0.5,4.800000000000001,77.0,-2.2415197059005165,0.6220355835146777
0.5,4.9,77.25,-2.3788194919966505,0.6052719022311533
0.5,5.0,77.50000000000001,-2.5179898801680327,0.589081621292319
