state,ordering,loss_placement,f_hz,kappa,qfi_epsilon_a,sigma_h,sigma_h_over_hsql,method,cutoff,converged
squeezed,BA3,detection,46.41588833612777,2252.376878641662,3.2334763499023553e-06,1.306573172051138e-22,16.571416130536456,gaussian,0,True
squeezed,BA3,detection,56.23413251903491,1232.2002252896486,1.0804108914631666e-05,7.976652253334493e-23,12.25687844521532,gaussian,0,True
squeezed,BA3,detection,68.12920690579611,651.1800343107965,3.8685508176099555e-05,4.786276163017445e-23,8.910258558633451,gaussian,0,True
squeezed,BA3,detection,82.54041852680182,333.75582333615046,0.00014726129549653939,2.828331932609763e-23,6.379053778387973,gaussian,0,True
squeezed,BA3,detection,100.0,166.75783567172073,0.0005898708731000848,1.6501908587284707e-23,4.509136650979998,gaussian,0,True
squeezed,BA3,detection,121.15276586285876,81.65466420304968,0.002459779527507578,9.531996071152063e-24,3.1555597505275994,gaussian,0,True
squeezed,BA3,detection,146.7799267622069,39.37455562134677,0.010571035627785458,5.465407019417423e-24,2.19203960649019,gaussian,0,True
squeezed,BA3,detection,177.82794100389228,18.773411876910597,0.04635485819874941,3.1198703390247444e-24,1.5159880055451933,gaussian,0,True
squeezed,BA3,detection,215.44346900318823,8.87845779448332,0.20437007704275212,1.7833846446890165e-24,1.0498749564242122,gaussian,0,True
squeezed,BA3,detection,261.0157215682536,4.174744780956828,0.8694111979805447,1.0407862143853538e-24,0.742313600744957,gaussian,0,True
squeezed,BA3,detection,316.2277660168379,1.9551114949784008,3.1174594842348156,6.629329483200775e-25,0.5728340489567784,gaussian,0,True
squeezed,BA3,detection,383.1186849557285,0.9130574356463572,7.216243652924365,5.262811336178698e-25,0.5509476751279896,gaussian,0,True
squeezed,BA3,detection,464.15888336127773,0.425584997186887,10.121822130001174,5.372378541292333e-25,0.6813848801040223,gaussian,0,True
squeezed,BA3,detection,562.341325190349,0.19810633841316985,11.092920042458385,6.208456621703829e-25,0.9539879103141963,gaussian,0,True
squeezed,BA3,detection,681.2920690579608,0.09213307477274686,11.328544718043545,7.435798291460901e-25,1.3842679174824704,gaussian,0,True
squeezed,BA3,detection,825.4041852680182,0.04282157580077135,11.380848475691431,8.981946587539196e-25,2.0257990109262853,gaussian,0,True
squeezed,BA3,detection,1000.0,0.019894140793964385,11.392213298679486,1.087149149437838e-24,2.9706285481360175,gaussian,0,True
cat_even,BA1,injection,10.0,97079.71751816789,9.318144480737146,5.441602396883067e-26,0.001486914600093749,fock (kappa-independent),73,True
cat_even,BA1,injection,12.115276586285882,64666.33333740737,9.318144480737146,5.503241940401113e-26,0.0018218438860986945,fock (kappa-independent),73,True
cat_even,BA1,injection,14.677992676220699,42661.77822750102,9.318144480737146,5.592486112635152e-26,0.0022430078883583938,fock (kappa-independent),73,True
cat_even,BA1,injection,17.78279410038923,27774.396025481048,9.318144480737146,5.720957823391917e-26,0.0027798922705240332,fock (kappa-independent),73,True
cat_even,BA1,injection,21.544346900318832,17764.537446089365,9.318144480737146,5.90446799184003e-26,0.003475948441129577,fock (kappa-independent),73,True
cat_even,BA1,injection,26.10157215682536,11105.35318349556,9.318144480737146,6.163937176733177e-26,0.004396267299839918,fock (kappa-independent),73,True
cat_even,BA1,injection,31.622776601683793,6749.487979912539,9.318144480737146,6.526128844232176e-26,0.005639165799993045,fock (kappa-independent),73,True
cat_even,BA1,injection,38.311868495572874,3969.586460544283,9.318144480737146,7.02400952304178e-26,0.0073532214430597825,fock (kappa-independent),73,True
cat_even,BA1,injection,46.41588833612777,2252.376878641662,9.318144480737146,7.696687627418295e-26,0.009761796448068192,fock (kappa-independent),73,True
cat_even,BA1,injection,56.23413251903491,1232.2002252896486,9.318144480737146,8.589154522080481e-26,0.01319804594468853,fock (kappa-independent),73,True
cat_even,BA1,injection,68.12920690579611,651.1800343107965,9.318144480737146,9.752303004958272e-26,0.01815514574519119,fock (kappa-independent),73,True
cat_even,BA1,injection,82.54041852680182,333.75582333615046,9.318144480737146,1.124371853174106e-25,0.025359217691557204,fock (kappa-independent),73,True
cat_even,BA1,injection,100.0,166.75783567172073,9.318144480737146,1.3129492303553693e-25,0.03587625918636555,fock (kappa-independent),73,True
cat_even,BA1,injection,121.15276586285876,81.65466420304968,9.318144480737146,1.548699741821183e-25,0.051269582304315324,fock (kappa-independent),73,True
cat_even,BA1,injection,146.7799267622069,39.37455562134677,9.318144480737146,1.840842186539689e-25,0.07383162805362531,fock (kappa-independent),73,True
cat_even,BA1,injection,177.82794100389228,18.773411876910597,9.318144480737146,2.200490275542337e-25,0.10692485589269109,fock (kappa-independent),73,True
