freq_hz,K,n_target,state,placement,eta,qfi,eps_min,n_actual,theta,split,method
47.7,0.414393136956846,2.0,fock,none,1.0,19.99999998479995,0.22360679783494983,2.0,,,fock(N=81)
47.7,0.414393136956846,2.0,fock,det,0.9,11.596783012916635,0.2936508311554334,2.0,,,fock(N=81)
47.7,0.414393136956846,2.0,fock,det,0.7,4.628246143717007,0.4648274596165234,2.0,,,fock(N=81)
47.7,0.414393136956846,2.0,fock,inj,0.9,13.53569377127058,0.2718064383663514,2.0,,,fock(N=81)
47.7,0.414393136956846,2.0,fock,conc,0.9,12.596025784078387,0.2817625243310612,2.0,,,fock(N=81)
73.7,0.17095082569257145,2.0,coherent,none,1.0,4.0,0.5,2.0,,,gaussian
73.7,0.17095082569257145,2.0,coherent,det,0.9,3.590556202977439,0.5277389339416811,2.0,,,gaussian
73.7,0.17095082569257145,2.0,coherent,det,0.7,2.7829209945371822,0.5994453027618366,2.0,,,gaussian
73.7,0.17095082569257145,2.0,coherent,inj,0.9,4.0,0.5,2.0,,,gaussian
73.7,0.17095082569257145,2.0,coherent,conc,0.9,3.7921060730581804,0.5135228364619462,2.0,,,gaussian
73.7,0.17095082569257145,2.0,sqz_vac,none,1.0,39.59591794226543,0.1589186225978911,2.0,0.0,,gaussian
73.7,0.17095082569257145,2.0,sqz_vac,det,0.9,18.719682578049326,0.23112704129863457,2.0,0.17453292519943295,,gaussian
73.7,0.17095082569257145,2.0,sqz_vac,det,0.7,7.519030651998373,0.3646859839988962,2.0,0.2792526803190927,,gaussian
73.7,0.17095082569257145,2.0,sqz_vac,inj,0.9,20.951352411650515,0.21847108675421986,2.0,0.0,,gaussian
73.7,0.17095082569257145,2.0,sqz_vac,conc,0.9,19.818064396976776,0.22463084062994515,2.0,0.08726646259971647,,gaussian
73.7,0.17095082569257145,2.0,cat,none,1.0,36.522705062589296,0.16546971996344037,1.9999999999999982,,,fock(N=92)
73.7,0.17095082569257145,2.0,cat,det,0.9,15.08859555838624,0.25743974179328966,1.9999999999999982,,,fock(N=92)
73.7,0.17095082569257145,2.0,cat,det,0.7,4.292276908852385,0.48267647679305875,1.9999999999999982,,,fock(N=92)
73.7,0.17095082569257145,2.0,cat,inj,0.9,17.073098333099313,0.24201586093484231,1.9999999999999982,,,fock(N=92)
73.7,0.17095082569257145,2.0,cat,conc,0.9,16.094020885841132,0.24926868333569818,1.9999999999999982,,,fock(N=92)
73.7,0.17095082569257145,2.0,sqz_cat,none,1.0,39.59572663962922,0.158919006496828,1.9999999999999993,0.0,0.75,fock(N=94)
73.7,0.17095082569257145,2.0,sqz_cat,det,0.9,18.717968806724414,0.23113762176903263,1.9999999999999996,0.17453292519943295,0.75,fock(N=94)
73.7,0.17095082569257145,2.0,sqz_cat,det,0.7,7.518480217845987,0.3646993332357634,2.0000000000000004,0.2792526803190927,0.75,fock(N=94)
73.7,0.17095082569257145,2.0,sqz_cat,inj,0.9,20.950135418219602,0.218477432155121,1.9999999999999993,0.0,0.75,fock(N=94)
73.7,0.17095082569257145,2.0,sqz_cat,conc,0.9,19.816678937032453,0.22463869289402877,2.0000000000000013,0.08726646259971647,0.75,fock(N=94)
73.7,0.17095082569257145,2.0,fock,none,1.0,19.999999984799967,0.22360679783494974,2.0,,,fock(N=79)
73.7,0.17095082569257145,2.0,fock,det,0.9,12.078351652863459,0.28773730074211595,2.0,,,fock(N=79)
73.7,0.17095082569257145,2.0,fock,det,0.7,4.724247943117511,0.4600803221374353,2.0,,,fock(N=79)
73.7,0.17095082569257145,2.0,fock,inj,0.9,13.535693771251818,0.2718064383665397,2.0,,,fock(N=79)
73.7,0.17095082569257145,2.0,fock,conc,0.9,12.801233003210703,0.2794950358602135,2.0,,,fock(N=79)
113.8,0.06919822466101729,2.0,coherent,none,1.0,4.000000000000001,0.5,2.0,,,gaussian
113.8,0.06919822466101729,2.0,coherent,det,0.9,3.59844922856148,0.527159831204146,2.0,,,gaussian
113.8,0.06919822466101729,2.0,coherent,det,0.7,2.7971872525480226,0.5979146985273693,2.0,,,gaussian
