freq_hz,K,n_target,state,scenario,qfi,eps_min,n_actual,theta,split,method
17.8,3.004573589138119,2.0,sqz_vac,pn_post,36.75364254311572,0.16494904535863913,1.9999999975042446,0.0,,fock(N=97)
17.8,3.004573589138119,2.0,sqz_vac,pn_then_loss,2.232543971305391,0.6692678904947124,1.9999999983501249,0.0,,fock(N=99)
17.8,3.004573589138119,2.0,sqz_vac,loss_then_pn,9.035594894737669,0.33267611743562014,1.9999999983501249,0.0,,fock(N=99)
17.8,3.004573589138119,2.0,cat,lossless,36.522705062589324,0.1654697199634403,1.9999999999999982,,,fock(N=78)
17.8,3.004573589138119,2.0,cat,loss_pre,17.073098331722353,0.2420158609446017,1.9999999999999982,,,fock(N=79)
17.8,3.004573589138119,2.0,cat,loss_conc,4.967978244923804,0.4486525673835633,1.9999999999999982,,,fock(N=96)
17.8,3.004573589138119,2.0,cat,loss_post,2.369616790197672,0.6496223239186165,1.9999999999999982,,,fock(N=96)
17.8,3.004573589138119,2.0,cat,loss_post_07,0.9535109315375042,1.0240877278558993,1.9999999999999982,,,fock(N=132)
17.8,3.004573589138119,2.0,cat,pn_pre,33.527646731401504,0.1727024362629599,1.9999999999999982,,,fock(N=79)
17.8,3.004573589138119,2.0,cat,pn_conc,35.656922155279126,0.16746655003682356,1.9999999999999982,,,fock(N=96)
17.8,3.004573589138119,2.0,cat,pn_post,34.50045932755856,0.17025017281354773,1.9999999999999982,,,fock(N=96)
17.8,3.004573589138119,2.0,cat,pn_then_loss,1.818862218209509,0.7414811231482241,1.9999999999999982,,,fock(N=98)
17.8,3.004573589138119,2.0,cat,loss_then_pn,14.142175662451214,0.26591441842371055,1.9999999999999982,,,fock(N=98)
17.8,3.004573589138119,2.0,sqz_cat,lossless,39.595721066854445,0.15891901768010458,2.0000000000000004,0.0,0.75,fock(N=78)
17.8,3.004573589138119,2.0,sqz_cat,loss_pre,20.95013444124688,0.2184774372492766,2.0,0.0,0.75,fock(N=79)
17.8,3.004573589138119,2.0,sqz_cat,loss_conc,7.642578438753562,0.3617262679376414,2.0000000000000018,0.0,0.75,fock(N=97)
17.8,3.004573589138119,2.0,sqz_cat,loss_post,3.322028673352622,0.5486536991710914,2.0000000000000018,0.0,0.75,fock(N=97)
17.8,3.004573589138119,2.0,sqz_cat,loss_post_07,0.9439586629394862,1.0292562474216855,1.9999999999999711,0.0,0.5,fock(N=137)
17.8,3.004573589138119,2.0,sqz_cat,pn_pre,36.04361923495415,0.1665657878781246,2.0,0.0,0.75,fock(N=79)
17.8,3.004573589138119,2.0,sqz_cat,pn_conc,38.043958284693545,0.16212767383400645,1.999999999999974,0.0,0.5,fock(N=97)
17.8,3.004573589138119,2.0,sqz_cat,pn_post,36.76579174150411,0.16492178952974193,1.999999999999974,0.0,0.5,fock(N=97)
17.8,3.004573589138119,2.0,sqz_cat,pn_then_loss,2.230148111183371,0.6696272930425073,2.0000000000000004,0.0,0.75,fock(N=99)
17.8,3.004573589138119,2.0,sqz_cat,loss_then_pn,9.189186671240648,0.3298841603210602,1.9999999999999745,0.0,0.5,fock(N=99)
17.8,3.004573589138119,2.0,fock,lossless,19.9999999848,0.22360679783494958,2.0,,,fock(N=78)
17.8,3.004573589138119,2.0,fock,loss_pre,13.53569377124277,0.2718064383666306,2.0,,,fock(N=78)
17.8,3.004573589138119,2.0,fock,loss_conc,6.231749976696821,0.4005852828290883,2.0,,,fock(N=88)
17.8,3.004573589138119,2.0,fock,loss_post,3.51963227213046,0.5330296339247006,2.0,,,fock(N=88)
17.8,3.004573589138119,2.0,fock,loss_post_07,1.8249476986834645,0.740243817321876,2.0,,,fock(N=108)
17.8,3.004573589138119,2.0,fock,pn_pre,19.9999999848,0.22360679783494958,2.0,,,fock(N=79)
17.8,3.004573589138119,2.0,fock,pn_conc,20.032986291994433,0.22342262655780695,2.0,,,fock(N=88)
17.8,3.004573589138119,2.0,fock,pn_post,19.324628381616726,0.22748063111317146,2.0,,,fock(N=88)
17.8,3.004573589138119,2.0,fock,pn_then_loss,3.519632272130545,0.5330296339246942,2.0,,,fock(N=89)
17.8,3.004573589138119,2.0,fock,loss_then_pn,11.32768234554149,0.2971183461942563,2.0,,,fock(N=89)
31.6,0.9501482137621282,2.0,coherent,lossless,4.0,0.5,2.0,,,gaussian
31.6,0.9501482137621282,2.0,coherent,loss_pre,4.0,0.5,2.0,,,gaussian
31.6,0.9501482137621282,2.0,coherent,loss_conc,3.6902501564019468,0.520561561363074,2.0,,,gaussian
31.6,0.9501482137621282,2.0,coherent,loss_post,3.3294787017197427,0.5480395227359628,2.0,,,gaussian
31.6,0.9501482137621282,2.0,coherent,loss_post_07,2.3537637241178264,0.6518063203525334,2.0,,,gaussian
